,site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,tz_cd,flow,flow_unit,flow_dt,stage,stage_unit,stage_dt,flow_chg,flow_chg_percent,stage_chg,stage_chg_percent,USGSstationID,location name,proximity,river/water-body name,nws shef id,location type,usgs id,latitude,longitude,wfo,rfc,state,county,wrr,timezone,inundation,elevation,action stage,flood stage,moderate flood stage,major flood stage,flood stage unit,coeid,hydrograph page,pedts,in service,hemisphere,low water threshold value / units,forecast status,display low water impacts,low flow display,give data attribution,attribution wording,fema wms,probabilistic site,weekly chance probabilistic enabled,short-term probabilistic enabled,chance of exceeding probabilistic enabled,nrldb vertical datum name,nrldb vertical datum,navd88 vertical datum,ngvd29 vertical datum,msl vertical datum,other vertical datum,site_no_shift,stage_chg_percent_shift,river/water-body name_shift
6685,14231900.0,"CISPUS RIVER AB YELLOWJACKET CREEK NEAR RANDLE, WA",46.444,-121.84,17080004.0,PST,494,cfs,2022-08-14 15:00:00,13.76,ft,2022-08-14 15:00:00,-10.0,-1.98,-0.02,-0.15,14231900.0,Randle,near,Cispus River,ciyw1,River Stage/Flow Location,14231900.0,46.444167,121.838889,sew,nwrfc,wa,41.0,Pacific Northwest Region,PST,No,1260 ft,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=sew&gage=ciyw1,hgirg,Yes,W,0 Feet,Year-round,No,No,Yes,U. S. Geological Survey,No,Yes,Yes,Yes,Yes,NGVD29,1260.0,,1260 ft,,,14209500.0,-1.32,Clackamas River
6668,14209500.0,"CLACKAMAS RIVER ABOVE THREE LYNX CREEK, OR",45.1248,-122.073,17090011.0,PST,709,cfs,2022-08-14 15:45:00,0.75,ft,2022-08-14 15:45:00,-6.0,-0.84,-0.01,-1.32,14209500.0,Three Lynx Creek,above,Clackamas River,tlyo3,River Stage/Flow Location,14209500.0,45.125,122.072222,pqr,nwrfc,or,5.0,Pacific Northwest Region,PST,No,1091.69,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pqr&gage=tlyo3,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,,1091.69,,1091.69,,,14211010.0,0.04,Clackamas River
6670,14211010.0,"CLACKAMAS RIVER NEAR OREGON CITY, OR",45.3793,-122.577,17090011.0,PST,941,cfs,2022-08-14 14:45:00,23.31,ft,2022-08-14 14:45:00,7.0,0.75,0.01,0.04,14211010.0,Oregon City,near,Clackamas River,coco3,River Stage/Flow Location,14211010.0,45.379287,122.577313,pqr,nwrfc,or,0.0,Pacific Northwest Region,PST,No,,38.0,39.0,0.0,46.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pqr&gage=coco3,hgirz,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,0.0,0,,,,2246825.0,2.26,Clapboard Creek
1375,2246825.0,"CLAPBOARD CREEK NR JACKSONVILLE, FL",30.4484,-81.5183,3080103.0,EST,-423,cfs,2022-08-14 18:30:00,-2.26,ft,2022-08-14 18:30:00,-956.0,-179.36,-0.05,2.26,2246825.0,Sheffield Road (in MHHW),near,Clapboard Creek,ccjf1,River Stage/Flow Location,2246825.0,30.448333,81.518333,jax,serfc,fl,31.0,South Atlantic-Gulf Region,EST,No,,1.0,1.5,2.1,3.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=ccjf1,hgirg,Yes,W,-5 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,0.0,1.84,,,,12324200.0,-0.44,Clark Fork River
6299,12324200.0,Clark Fork at Deer Lodge MT,46.3977,-112.743,17010201.0,MST,53.1,cfs,2022-08-14 16:30:00,2.28,ft,2022-08-14 16:30:00,-2.1,-3.8,-0.01,-0.44,12324200.0,Deer Lodge,at,Clark Fork River,dlgm8,River Stage/Flow Location,12324200.0,46.397778,112.741944,mso,nwrfc,mt,0.0,Pacific Northwest Region,MST,No,4502.2 ft,5.0,6.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mso&gage=dlgm8,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,NGVD29,4502.2,,4502.2 ft,,,12354500.0,-0.19,Clark Fork River
6310,12354500.0,Clark Fork at St. Regis MT,47.3016,-115.087,17010204.0,MST,2610,cfs,2022-08-14 16:45:00,5.24,ft,2022-08-14 16:45:00,-10.0,-0.38,-0.01,-0.19,12354500.0,St. Regis,at,Clark Fork River,srgm8,River Stage/Flow Location,12354500.0,47.301944,115.086389,mso,nwrfc,mt,0.0,Pacific Northwest Region,MST,No,2600.37 ft,18.0,19.0,21.0,22.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mso&gage=srgm8,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,NGVD 1929,2600.37,,2600.37 ft,,,12391950.0,3.07,Clark Fork River
6328,12391950.0,CLARK FORK RIVER BELOW CABINET GORGE DAM ID,48.0881,-116.073,17010213.0,PST,16400,cfs,2022-08-14 15:45:00,10.75,ft,2022-08-14 15:45:00,1300.0,8.61,0.32,3.07,12391950.0,Cabinet Gorge Dam,below,Clark Fork River,cbbi1,River Stage/Flow Location,12391950.0,48.088056,116.072778,otx,nwrfc,id,0.0,Pacific Northwest Region,PST,No,2060,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=otx&gage=cbbi1,hgirg,Yes,W,4 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NGVD29,2060.0,,2060,,,2124080.0,-0.58,Clarke Creek NC
1030,2124080.0,"CLARKE CREEK NEAR HARRISBURG, NC",35.4142,-80.7519,3040105.0,EST,2.44,cfs,2022-08-14 18:20:00,3.45,ft,2022-08-14 18:20:00,-0.19,-7.22,-0.02,-0.58,2124080.0,HARRISBURG,near,Clarke Creek NC,ckcn7,River Stage/Flow Location,2124080.0,35.414167,80.751944,gsp,serfc,nc,25.0,South Atlantic-Gulf Region,EST,No,,18.0,19.0,24.0,28.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=ckcn7,hgirg,Yes,W,0 Feet,Data Point,No,No,No,US Geological Survey,Yes,No,,,,NAVD88,608.3,,,,,6207500.0,0.58,Clarks Fork of the Yellowstone
3879,6207500.0,Clarks Fork Yellowstone River nr Belfry MT,45.0099,-109.065,10070006.0,MST,607,cfs,2022-08-14 16:00:00,1.72,ft,2022-08-14 16:00:00,6.0,1.0,0.01,0.58,6207500.0,Belfry,near,Clarks Fork of the Yellowstone,bfym8,River Stage/Flow Location,6207500.0,45.009911,109.065367,byz,mbrfc,mt,9.0,Missouri Region,MST,No,3986.24 ft,0.0,9.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=byz&gage=bfym8,hgirz,Yes,W,-9999 Feet,Summer-only,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,3986.24,,3986.24 ft,,,6208500.0,-0.53,Clarks Fork of the Yellowstone
3880,6208500.0,Clarks Fork Yellowstone River at Edgar MT,45.4657,-108.844,10070006.0,MST,417,cfs,2022-08-14 16:30:00,1.88,ft,2022-08-14 16:30:00,-4.0,-0.95,-0.01,-0.53,6208500.0,Edgar,at,Clarks Fork of the Yellowstone,edgm8,River Stage/Flow Location,6208500.0,45.465631,108.844106,byz,mbrfc,mt,9.0,Missouri Region,MST,No,3460,0.0,9.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=byz&gage=edgm8,hgirz,Yes,W,-9999 Feet,Summer-only,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD 1988,3460.0,,3460,,,8077600.0,-6.42,Clear Creek
5196,8077600.0,"Clear Ck nr Friendswood, TX",29.5175,-95.1785,12040204.0,CST,0,,0000-00-00 00:00:00,1.75,ft,2022-08-14 17:15:00,,,-0.12,-6.42,8077600.0,Friendswood,at,Clear Creek,hcct2,River Stage/Flow Location,8077600.0,29.517222,95.178333,hgx,wgrfc,tx,201.0,Texas-Gulf Region,CST,No,,7.0,12.0,16.0,21.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=hgx&gage=hcct2,hgirg,Yes,W,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,0.0,,,,,11372000.0,0.34,Clear Creek
6090,11372000.0,CLEAR C NR IGO CA,40.5132,-122.524,18020112.0,PST,165,cfs,2022-08-14 15:45:00,2.99,ft,2022-08-14 15:45:00,1.5,0.93,0.01,0.34,11372000.0,Igo Near Redding,above,Clear Creek,rdgc1,River Stage/Flow Location,11372000.0,40.513206,122.52418,sto,cnrfc,ca,89.0,California Region,PST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=sto&gage=rdgc1,hgirg,Yes,W,-9999 Feet,No routine,No,No,No,US Geological Survey,No,No,,,,NAVD88,675.79,675.79,,,,6715000.0,0.25,Clear Creek (CO)
4170,6715000.0,CLEAR CREEK ABV WEST FORK CLEAR CREEK NR EMPIRE CO,39.7519,-105.662,10190004.0,MST,52.3,cfs,2022-08-14 16:00:00,3.95,ft,2022-08-14 16:00:00,1.2,2.35,0.01,0.25,6715000.0,Empire,near,Clear Creek (CO),cwcc2,River Stage/Flow Location,6715000.0,39.7519,105.6619,bou,mbrfc,co,19.0,Missouri Region,MST,No,8280,6.5,7.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bou&gage=cwcc2,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,,8280.0,,8280,,,6719505.0,-0.24,Clear Creek (CO)
4173,6719505.0,"CLEAR CREEK AT GOLDEN, CO",39.753,-105.235,10190004.0,MST,127,cfs,2022-08-14 16:45:00,4.19,ft,2022-08-14 16:45:00,-2.0,-1.55,-0.01,-0.24,6719505.0,Golden,at,Clear Creek (CO),gldc2,River Stage/Flow Location,6719505.0,39.7531,105.2347,bou,mbrfc,co,59.0,Missouri Region,MST,No,5695,8.0,8.5,9.5,10.5,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bou&gage=gldc2,hgirg,Yes,W,-9999 Feet,High Water,No,No,Yes,U.S. Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,5695.0,,5695,,,5454220.0,-0.67,Clear Creek (IA)
3476,5454220.0,"Clear Creek near Oxford, IA",41.7183,-91.7402,7080209.0,CST,3.43,cfs,2022-08-14 17:45:00,1.49,ft,2022-08-14 17:45:00,-0.15,-4.19,-0.01,-0.67,5454220.0,Oxford,near,Clear Creek (IA),oxfi4,River Stage/Flow Location,5454220.0,41.718345,91.740174,dvn,ncrfc,ia,103.0,Upper Mississippi Region,CST,No,696.5,9.0,10.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=dvn&gage=oxfi4,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NGVD29,696.5,,696.5,,,5454300.0,1.52,Clear Creek (IA)
3477,5454300.0,"Clear Creek near Coralville, IA",41.6767,-91.5988,7080209.0,CST,8.02,cfs,2022-08-14 17:00:00,0.67,ft,2022-08-14 17:00:00,0.45,5.94,0.01,1.52,5454300.0,Coralville,near,Clear Creek (IA),crai4,River Stage/Flow Location,5454300.0,41.676667,91.598611,dvn,ncrfc,ia,103.0,Upper Mississippi Region,CST,No,647.48,10.0,11.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=dvn&gage=crai4,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NGVD29,647.48,,647.48,,,212466000.0,0.87,Clear Creek (NC)
7102,212466000.0,"CLEAR CREEK AT SR3181 NR MINT HILL, NC",35.2083,-80.58,3040105.0,EST,2.44,cfs,2022-08-14 18:40:00,1.16,ft,2022-08-14 18:40:00,0.1,4.27,0.01,0.87,212466000.0,SR3181,at,Clear Creek (NC),clcn7,River Stage/Flow Location,212466000.0,35.208333,80.58,gsp,serfc,nc,119.0,South Atlantic-Gulf Region,EST,No,,14.0,15.0,24.0,28.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=clcn7,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,558.29,,,,,6142400.0,-1.28,Clear Creek (North-central MT)
3845,6142400.0,Clear Creek near Chinook MT,48.5789,-109.391,10050004.0,MST,0.03,cfs,2022-08-14 16:30:00,0.77,ft,2022-08-14 16:30:00,-0.01,-25.0,-0.01,-1.28,6142400.0,Chinook near mouth,near,Clear Creek (North-central MT),ccmm8,River Stage/Flow Location,6142400.0,48.578889,109.390556,tfx,mbrfc,mt,5.0,Missouri Region,MST,No,,4.5,5.5,6.5,8.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tfx&gage=ccmm8,hgirg,Yes,W,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,2470.0,,,,2470 ft,3403910.0,-0.3,Clear Fork
2585,3403910.0,"CLEAR FORK AT SAXTON, KY",36.634,-84.1116,5130101.0,EST,267,cfs,2022-08-14 18:00:00,6.68,ft,2022-08-14 18:00:00,-5.0,-1.84,-0.02,-0.3,3403910.0,Saxton,at,Clear Fork,sxtk2,River Stage/Flow Location,3403910.0,36.633889,84.111667,jkl,ohrfc,ky,235.0,Ohio Region,EST,No,921.83,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=jkl&gage=sxtk2,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,921.54,921.54,921.83,,,8084000.0,-0.67,Clear Fork Brazos River
5211,8084000.0,"Clear Fk Brazos Rv at Nugent, TX",32.6901,-99.6695,12060102.0,CST,0.44,cfs,2022-08-14 17:45:00,1.48,ft,2022-08-14 17:45:00,-0.21,-32.31,-0.01,-0.67,8084000.0,Nugent,at,Clear Fork Brazos River,ngtt2,River Stage/Flow Location,8084000.0,32.69,99.669167,sjt,wgrfc,tx,,Texas-Gulf Region,CST,No,1531.91 ft,14.0,18.0,22.0,27.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=ngtt2,hgirg,Yes,W,,High Water,No,No,Yes,US Geological Survey,No,Yes,Yes,No,Yes,USGS,1531.91,,1531.91 ft,,,3131982.0,0.48,Clear Fork Mohican River
2051,3131982.0,Clear Fork Mohican River at Bellville OH,40.6233,-82.5111,5040002.0,EST,0,,0000-00-00 00:00:00,2.11,ft,2022-08-14 18:30:00,,,0.01,0.48,3131982.0,Bellville,at,Clear Fork Mohican River,bleo1,River Stage/Flow Location,3131982.0,40.623333,82.511111,cle,ohrfc,oh,139.0,Ohio Region,EST,No,,10.0,12.0,14.0,15.5,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=cle&gage=bleo1,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,1110.08,,,,,3202750.0,0.45,Clear Fork River
2154,3202750.0,"CLEAR FORK AT CLEAR FORK, WV",37.6232,-81.7073,5070101.0,EST,70.5,cfs,2022-08-14 18:30:00,2.22,ft,2022-08-14 18:30:00,1.6,2.32,0.01,0.45,3202750.0,Clear Fork,at,Clear Fork River,clfw2,River Stage/Flow Location,3202750.0,37.623056,81.7075,rlx,ohrfc,wv,109.0,Ohio Region,EST,No,1149.39,9.0,11.0,13.0,15.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rlx&gage=clfw2,hgirg,Yes,W,,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,1149.0,1149,1149.39,,,8047500.0,0.12,Clear Fork Trinity River
5118,8047500.0,"Clear Fk Trinity Rv at Ft Worth, TX",32.7324,-97.3589,12030102.0,CST,0.29,cfs,2022-08-14 17:30:00,8.08,ft,2022-08-14 17:30:00,0.11,61.11,0.01,0.12,8047500.0,Fort Worth,at,Clear Fork Trinity River,fwht2,River Stage/Flow Location,8047500.0,32.732222,97.358611,fwd,wgrfc,tx,,Texas-Gulf Region,CST,Yes,532.91 ft,18.0,20.0,24.0,28.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fwd&gage=fwht2,hgirg,Yes,W,5 CFS,High Water,Yes,No,Yes,US Geological Survey,Yes,Yes,Yes,No,Yes,USGS NAD 1929,532.91,,532.91 ft,,,1541500.0,-0.34,Clearfield Creek
536,1541500.0,"Clearfield Creek at Dimeling, PA",40.9717,-78.4059,2050201.0,EST,77.7,cfs,2022-08-14 18:45:00,2.89,ft,2022-08-14 18:45:00,-1.9,-2.39,-0.01,-0.34,1541500.0,Dimeling,at,Clearfield Creek,dmlp1,River Stage/Flow Location,1541500.0,40.971667,78.406111,ctp,marfc,pa,33.0,Mid Atlantic Region,EST,No,1146.08,0.0,13.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ctp&gage=dmlp1,hgirg,Yes,W,0 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NGVD29,1146.08,,1146.08,,,13340000.0,-0.64,Clearwater River
6554,13340000.0,CLEARWATER RIVER AT OROFINO ID,46.4783,-116.257,17060306.0,PST,2150,cfs,2022-08-14 15:15:00,3.09,ft,2022-08-14 15:15:00,-30.0,-1.38,-0.02,-0.64,13340000.0,Orofino,at,Clearwater River,orfi1,River Stage/Flow Location,13340000.0,46.478611,116.256389,mso,nwrfc,id,0.0,Pacific Northwest Region,PST,No,,16.0,17.0,18.5,20.0,FT,UNK,https://water.weather.gov/ahps2/hydrograph.php?wfo=mso&gage=orfi1,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,USGS,990.8,,,,990.799987792969 ft,13341050.0,-0.27,Clearwater River
6555,13341050.0,CLEARWATER RIVER NR PECK ID,46.5003,-116.393,17060306.0,PST,12300,cfs,2022-08-14 15:30:00,7.33,ft,2022-08-14 15:30:00,-100.0,-0.81,-0.02,-0.27,13341050.0,Peck,near,Clearwater River,peki1,River Stage/Flow Location,13341050.0,46.500278,116.3925,otx,nwrfc,id,0.0,Pacific Northwest Region,PST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=otx&gage=peki1,hgirg,Yes,W,0 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,,,,NGVD29,930.0,,,,930 ft,13342500.0,0.16,Clearwater River
6558,13342500.0,CLEARWATER RIVER AT SPALDING ID,46.4483,-116.827,17060306.0,PST,13200,cfs,2022-08-14 15:00:00,6.16,ft,2022-08-14 15:00:00,,,0.01,0.16,13342500.0,Spalding,at,Clearwater River,spdi1,River Stage/Flow Location,13342500.0,46.448611,116.826389,otx,nwrfc,id,69.0,Pacific Northwest Region,PST,No,770.49 ft,17.0,18.0,19.0,19.4,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=otx&gage=spdi1,hgirg,Yes,W,0 Feet,Year-round,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,NGVD29,770.49,,770.49 ft,,,5078000.0,-0.34,Clearwater River (MN)
3233,5078000.0,"CLEARWATER RIVER AT PLUMMER, MN",47.9233,-96.0464,9020305.0,CST,68.8,cfs,2022-08-14 17:15:00,2.89,ft,2022-08-14 17:15:00,-1.6,-2.27,-0.01,-0.34,5078000.0,Plummer,at,Clearwater River (MN),plum5,River Stage/Flow Location,5078000.0,47.923333,96.046111,fgf,ncrfc,mn,125.0,Souris-Red-Rainy Region,CST,No,1098.57 ft,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fgf&gage=plum5,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,,1098.57,,1098.57 ft,,,3364500.0,-1.14,Clifty Creek
2543,3364500.0,"CLIFTY CREEK AT HARTSVILLE, IN",39.2748,-85.7016,5120206.0,EST,21.5,cfs,2022-08-14 17:00:00,0.87,ft,2022-08-14 17:00:00,-0.7,-3.15,-0.01,-1.14,3364500.0,Hartsville,at,Clifty Creek,cchi3,River Stage/Flow Location,3364500.0,39.274722,85.701667,ind,ohrfc,in,5.0,Ohio Region,EST,No,677.34 ft,6.0,9.0,13.0,17.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ind&gage=cchi3,hgirg,Yes,W,-9999 CFS,No routine,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,676.88,676.88 ft,677.34 ft,,,3527000.0,-0.25,Clinch River
2668,3527000.0,"CLINCH RIVER AT SPEERS FERRY, VA",36.6487,-82.7504,6010205.0,EST,1110,cfs,2022-08-14 18:15:00,4.04,ft,2022-08-14 18:15:00,-10.0,-0.89,-0.01,-0.25,3527000.0,Speers Ferry,near,Clinch River,sfyv2,River Stage/Flow Location,3527000.0,36.648611,82.750556,mrx,lmrfc,va,169.0,Tennessee Region,EST,No,1196.52001953125 ft,16.0,18.0,28.0,32.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mrx&gage=sfyv2,hgirg,Yes,W,0 Feet,Year-round,No,No,No,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 29,1196.52,,1196.52001953125 ft,,,3528000.0,-0.88,Clinch River
2669,3528000.0,"CLINCH RIVER ABOVE TAZEWELL, TN",36.4251,-83.3982,6010205.0,EST,1300,cfs,2022-08-14 18:15:00,2.26,ft,2022-08-14 18:15:00,-20.0,-1.52,-0.02,-0.88,3528000.0,Tazewell,above,Clinch River,tazt1,River Stage/Flow Location,3528000.0,36.425,83.398333,mrx,lmrfc,tn,25.0,Tennessee Region,EST,No,1060.7 ft,10.0,12.0,16.0,21.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mrx&gage=tazt1,hgirg,Yes,W,0 Feet,Year-round,No,No,No,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 29,1060.7,,1060.7 ft,,,4164000.0,0.17,Clinton River
2925,4164000.0,"CLINTON RIVER NEAR FRASER, MI",42.5778,-82.9516,4090003.0,EST,155,cfs,2022-08-14 17:30:00,5.74,ft,2022-08-14 17:30:00,1.0,0.65,0.01,0.17,4164000.0,Clinton Township,near,Clinton River,fsrm4,River Stage/Flow Location,4164000.0,42.577222,82.951389,dtx,ncrfc,mi,99.0,Great Lakes Region,EST,No,577.71 ft,14.0,16.0,17.0,19.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=dtx&gage=fsrm4,hgirg,Yes,W,0 Feet,High Water,No,Yes,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,577.71,,577.71 ft,,,4165500.0,0.16,Clinton River
2927,4165500.0,"CLINTON RIVER AT MORAVIAN DRIVE AT MT. CLEMENS, MI",42.5959,-82.9088,4090003.0,EST,175,cfs,2022-08-14 17:48:00,6.19,ft,2022-08-14 17:48:00,-51.0,-22.57,0.01,0.16,4165500.0,Mount Clemens,at,Clinton River,mtcm4,River Stage/Flow Location,4165500.0,42.595833,82.909722,dtx,ncrfc,mi,99.0,Great Lakes Region,EST,No,570.43 ft,14.0,16.0,17.0,18.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=dtx&gage=mtcm4,hgirg,Yes,W,-9999 Feet,High Water,No,Yes,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,570.43,,570.43 ft,,,10242000.0,-0.23,Coal Creek (UT)
5865,10242000.0,"COAL CREEK NEAR CEDAR CITY, UT",37.6722,-113.035,16030006.0,MST,13.8,cfs,2022-08-14 16:15:00,4.36,ft,2022-08-14 16:15:00,-0.7,-4.83,-0.01,-0.23,10242000.0,Cedar City,near,Coal Creek (UT),coau1,River Stage/Flow Location,10242000.0,37.672199,113.034672,slc,cbrfc,ut,21.0,Great Basin Region,MST,No,,8.3,8.5,9.4,10.2,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=slc&gage=coau1,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,Yes,Yes,No,Yes,NAVD88,5983.01,5983.01,,,,7326000.0,0.36,Cobb Creek
4870,7326000.0,"Cobb Creek near Fort Cobb, OK",35.1437,-98.4428,11130302.0,CST,1.62,cfs,2022-08-14 17:00:00,2.8,ft,2022-08-14 17:00:00,0.07,4.52,0.01,0.36,7326000.0,Fort Cobb,near,Cobb Creek,fcco2,River Stage/Flow Location,7326000.0,35.14367,98.442836,oun,abrfc,ok,15.0,Arkansas-White-Red Region,CST,No,1254.49,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=fcco2,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,1255.13,1255.13,1254.49,,,2203873.0,0.61,Cobbs Creek
1238,2203873.0,"COBBS CREEK AT RAINBOW DR, NEAR DECATUR, GA",33.7094,-84.2392,3070103.0,EST,3.67,cfs,2022-08-14 18:30:00,1.64,ft,2022-08-14 18:30:00,0.23,6.69,0.01,0.61,2203873.0,Rainbow Drive near Decatur,at,Cobbs Creek,cobg1,Stage/Flow and Precipitation Location,2203873.0,33.709417,84.239167,ffc,serfc,ga,89.0,South Atlantic-Gulf Region,EST,No,,9.0,11.0,17.0,20.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=cobg1,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,779.22,779.22 ft,,,,1351298.0,0.4,Cobleskill Creek
200,1351298.0,COBLESKILL CREEK AT S GRAND ST AT COBLESKILL NY,42.6726,-74.4819,2020005.0,EST,0.76,cfs,2022-08-14 17:15:00,2.48,ft,2022-08-14 17:15:00,,,0.01,0.4,1351298.0,Cobleskill - S Grand St,at,Cobleskill Creek,cbsn6,River Stage/Flow Location,1351298.0,42.6725,74.481667,aly,nerfc,ny,95.0,Mid Atlantic Region,EST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=aly&gage=cbsn6,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,,,,NAVD 1988,879.82,,,,,212419274.0,0.53,Coddle Creek
7097,212419274.0,"CODDLE CR AT SR 1612 NEAR DAVIDSON, NC",35.5039,-80.7364,3040105.0,EST,3.43,cfs,2022-08-14 18:00:00,1.89,ft,2022-08-14 18:00:00,0.21,6.52,0.01,0.53,212419274.0,SR 1612 NR DAVIDSON,at,Coddle Creek,codn7,River Stage/Flow Location,212419274.0,35.503889,80.736389,gsp,serfc,nc,25.0,South Atlantic-Gulf Region,EST,No,,12.5,18.0,20.0,30.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=gsp&gage=codn7,hgirg,Yes,W,0 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,655.12,,,,,1575500.0,1.97,Codorus Creek
