,site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,tz_cd,flow,flow_unit,flow_dt,stage,stage_unit,stage_dt,flow_chg,flow_chg_percent,stage_chg,stage_chg_percent,USGSstationID,location name,proximity,river/water-body name,nws shef id,location type,usgs id,latitude,longitude,wfo,rfc,state,county,wrr,timezone,inundation,elevation,action stage,flood stage,moderate flood stage,major flood stage,flood stage unit,coeid,hydrograph page,pedts,in service,hemisphere,low water threshold value / units,forecast status,display low water impacts,low flow display,give data attribution,attribution wording,fema wms,probabilistic site,weekly chance probabilistic enabled,short-term probabilistic enabled,chance of exceeding probabilistic enabled,nrldb vertical datum name,nrldb vertical datum,navd88 vertical datum,ngvd29 vertical datum,msl vertical datum,other vertical datum,site_no_shift,stage_chg_percent_shift,river/water-body name_shift,jam_status
1380,2262900.0,"BOGGY CREEK NEAR TAFT, FL",28.3714,-81.3106,3090101.0,EST,139,cfs,2022-08-14 18:45:00,6.62,ft,2022-08-14 18:45:00,1.0,0.72,0.01,0.15,2262900.0,Taft/nr Narcoosee 6NW,near,Boggy Creek,bctf1,River Stage/Flow Location,2262900.0,28.371111,81.310833,mlb,serfc,fl,95.0,South Atlantic-Gulf Region,AST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mlb&gage=bctf1,hgirg,Yes,W,0 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,,,,,0.0,,,,,8158030.0,-2.44,Boggy Creek,jam
1818,2490500.0,"BOGUE CHITTO NR TYLERTOWN, MS",31.1769,-90.2794,3180005.0,CST,415,cfs,2022-08-14 17:00:00,6.01,ft,2022-08-14 17:00:00,11.0,2.72,0.03,0.5,2490500.0,Tylertown,near,Bogue Chitto River,tytm6,River Stage/Flow Location,2490500.0,31.176944,90.28,lix,lmrfc,ms,113.0,South Atlantic-Gulf Region,CST,No,,14.0,15.0,17.0,23.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=tytm6,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,227.4,227.4 ft,,,,2491500.0,-0.87,Bogue Chitto River,jam
6768,15239001.0,BRADLEY R BL DAM NR HOMER AK,59.7577,-150.853,19020301.0,AKST,64.6,cfs,2022-08-14 14:15:00,2.92,ft,2022-08-14 14:15:00,1.5,2.38,0.01,0.34,15239001.0,Dam nr Homer,below,Bradley River,brra2,River Stage/Flow Location,15239001.0,59.758333,150.850556,pafc,aprfc,ak,122.0,Alaska Region,AKST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pafc&gage=brra2,hgirz,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,,,,NGVD29,1054.16,,,,,15239060.0,-0.11,Bradley River,jam
5197,8079510.0,"N Fk DMF Brazos Rv at Loop 289 nr Lubbock, TX",33.5548,-101.788,12050003.0,CST,9.47,cfs,2022-08-14 17:45:00,6.45,ft,2022-08-14 17:45:00,0.85,9.86,0.02,0.31,8079510.0,Lubbock 4ESE,near,Brazos River,lset2,River Stage/Flow Location,8079510.0,33.5547,101.7881,lub,wgrfc,tx,303.0,Texas-Gulf Region,CST,No,,10.0,11.0,20.0,21.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lub&gage=lset2,hgirg,Yes,W,0 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,,,,NAVD88,3098.47,3098.47,,,,8082500.0,-3.85,Brazos River,jam
5225,8090800.0,"Brazos Rv nr Dennis, TX",32.6157,-97.9259,12060201.0,CST,181,cfs,2022-08-14 17:45:00,2.3,ft,2022-08-14 17:45:00,22.0,13.84,0.09,4.07,8090800.0,Dennis,near,Brazos River,dnnt2,River Stage/Flow Location,8090800.0,32.615556,97.925556,fwd,wgrfc,tx,,Texas-Gulf Region,CST,No,697.67 ft,10.0,21.0,25.0,27.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fwd&gage=dnnt2,hgirg,Yes,W,,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,No,Yes,USGS NAD 1929,697.67,,697.67 ft,,,8091000.0,-0.24,Brazos River,jam
5233,8093100.0,"Brazos Rv nr Aquilla, TX",31.8124,-97.2978,12060202.0,CST,27,cfs,2022-08-14 17:00:00,5.86,ft,2022-08-14 17:00:00,0.9,3.45,0.01,0.17,8093100.0,Aquilla,near,Brazos River,aqlt2,River Stage/Flow Location,8093100.0,31.812222,97.2975,fwd,wgrfc,tx,0.0,Texas-Gulf Region,CST,No,404.29 ft,27.0,29.0,32.0,35.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fwd&gage=aqlt2,hgirg,Yes,W,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,No,Yes,USGS NAD 1929,404.29,,404.29 ft,,,8108700.0,-0.79,Brazos River,jam
5281,8114000.0,"Brazos Rv at Richmond, TX",29.5825,-95.7577,12070104.0,CST,585,cfs,2022-08-14 17:15:00,8.23,ft,2022-08-14 17:15:00,36.0,6.56,0.07,0.86,8114000.0,Richmond,at,Brazos River,rmot2,River Stage/Flow Location,8114000.0,29.582222,95.7575,hgx,wgrfc,tx,157.0,Texas-Gulf Region,CST,No,27.94,20.0,45.0,48.0,50.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=hgx&gage=rmot2,hgirg,Yes,W,0 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,No,Yes,NAVD 1988,27.02,27.02,27.94,,,8114100.0,-0.04,Brazos River,jam
7027,73745257.0,Crooked B. NW of L. Cuatro Caballo near Delacroix,29.7083,-89.7195,8090203.0,CST,0,,0000-00-00 00:00:00,5.77,ft,2022-08-14 17:15:00,,,0.04,0.7,73745257.0,Crooked Bayou near Delacroix,at,Breton Sound Basin,cbdl1,River Stage/Flow Location,73745257.0,29.708056,89.719444,lix,lmrfc,la,75.0,South Atlantic-Gulf Region,CST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=cbdl1,hgirg,Yes,W,-9999 Feet,No routine,No,No,Yes,US Geological Survey,No,No,,,,NAVD88,,,,,,73745258.0,-3.66,Breton Sound Basin,jam
1129,2161000.0,"BROAD RIVER AT ALSTON, SC",34.2432,-81.3195,3050106.0,EST,3150,cfs,2022-08-14 18:45:00,4.45,ft,2022-08-14 18:45:00,20.0,0.64,0.01,0.23,2161000.0,Alston,at,Broad River in NC/SC,alts1,River Stage/Flow Location,2161000.0,34.243056,81.319722,cae,serfc,sc,39.0,South Atlantic-Gulf Region,EST,No,,11.5,20.0,25.0,30.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=cae&gage=alts1,hgirg,Yes,W,,Data Point,No,No,Yes,US Geological Survey,No,No,,,,NGVD 29,211.91,,,,,2162035.0,-0.01,Broad River in NC/SC,jam
706,1607300.0,"BRUSHY FORK NEAR SUGAR GROVE, WV",38.4664,-79.3189,2070001.0,EST,0,,0000-00-00 00:00:00,46.33,ft,2022-08-14 18:30:00,,,0.02,0.04,1607300.0,Sugar Grove,near,Brushy Fork,sugw2,River Stage/Flow Location,1607300.0,38.466389,79.318889,lwx,marfc,wv,71.0,Mid Atlantic Region,EST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=sugw2,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,,,,NAVD88,1952.0,,,,,3126395.0,-0.52,Brushy Fork,jam
1912,3052450.0,"BUCKHANNON R AT BUCKHANNON, WV",39.0054,-80.2093,5020001.0,EST,0,,0000-00-00 00:00:00,6.58,ft,2022-08-14 18:45:00,,,0.05,0.77,3052450.0,Buckhannon,at,Buckhannon River,bknw2,River Stage/Flow Location,3052450.0,39.005376,80.209249,rlx,ohrfc,wv,97.0,Ohio Region,EST,No,,21.0,23.0,25.0,26.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rlx&gage=bknw2,hgirg,Yes,W,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,1384.25,1384.25 ft,,,1384.10ft,3053500.0,-0.36,Buckhannon River,jam
4735,7229050.0,"Canadian River at Norman, OK",35.1945,-97.485,11090202.0,CST,51.7,cfs,2022-08-14 17:00:00,86.07,ft,2022-08-14 17:00:00,4.4,9.3,0.03,0.03,7229050.0,Norman,at,Canadian River,nrco2,River Stage/Flow Location,7229050.0,35.194444,97.484722,oun,abrfc,ok,27.0,Arkansas-White-Red Region,CST,No,1000,93.0,94.0,96.0,99.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=nrco2,hgirg,Yes,W,-9999 Feet,High Water,No,No,Yes,U.S. Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,1000.0,,1000,,,7231500.0,-0.16,Canadian River,jam
4675,7174400.0,"Caney River above Coon Creek at Bartlesville, OK",36.7556,-95.9722,11070106.0,CST,21.4,cfs,2022-08-14 17:00:00,2.98,ft,2022-08-14 17:00:00,1.4,7.0,0.01,0.34,7174400.0,Bartlesville,at,Caney River,bvlo2,River Stage/Flow Location,7174400.0,36.755556,95.971944,tsa,abrfc,ok,0.0,Arkansas-White-Red Region,CST,No,653.33 ft,13.0,13.0,15.0,19.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tsa&gage=bvlo2,hgirg,Yes,W,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,653.33,,653.33 ft,,,7175500.0,-0.36,Caney River,jam
1229,2203000.0,"CANOOCHEE RIVER NEAR CLAXTON, GA",32.1844,-81.8892,3060203.0,EST,51.6,cfs,2022-08-14 18:15:00,1.69,ft,2022-08-14 18:15:00,1.6,3.2,0.01,0.6,2203000.0,Claxton,near,Canoochee River,cnog1,River Stage/Flow Location,2203000.0,32.184591,81.89024,chs,serfc,ga,109.0,South Atlantic-Gulf Region,EST,No,80.5 ft,9.5,11.0,13.5,16.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=chs&gage=cnog1,hgirg,Yes,W,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,No,Yes,NGVD29,80.5,79.7807,80.5 ft,,,2203518.0,-0.16,Canoochee River,jam
5907,10312150.0,"CARSON RV BLW LAHONTAN RESERVOIR NR FALLON, NV",39.4639,-119.046,16050203.0,PST,625,cfs,2022-08-14 15:55:00,5.09,ft,2022-08-14 15:55:00,3.2,0.52,0.01,0.2,10312150.0,Lahontan Dam,below,Carson River,cbln2,River Stage/Flow Location,10312150.0,39.463889,119.046389,rev,cnrfc,nv,1.0,Great Basin Region,PST,No,4040,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=rev&gage=cbln2,hgirg,Yes,W,0 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NGVD29,4040.0,,4040,,,10312275.0,-1.01,Carson River,jam
3758,5595820.0,"CASEY FORK AT MOUNT VERNON, IL",38.2867,-88.8722,7140106.0,CST,4.66,cfs,2022-08-14 16:30:00,1.64,ft,2022-08-14 16:30:00,0.11,2.42,0.01,0.61,5595820.0,Mount Vernon,above,Casey Fork,cfmi2,River Stage/Flow Location,5595820.0,38.286389,88.871389,pah,ncrfc,il,81.0,Upper Mississippi Region,CST,No,420,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=pah&gage=cfmi2,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,,,,NGVD29,420.0,,420,,,5595860.0,-0.13,Casey Fork,jam
1498,2336000.0,"CHATTAHOOCHEE RIVER AT ATLANTA, GA",33.8592,-84.4544,3130001.0,EST,1130,cfs,2022-08-14 18:45:00,3.02,ft,2022-08-14 18:45:00,10.0,0.89,0.01,0.33,2336000.0,Atlanta,at,Chattahoochee River,ving1,River Stage/Flow Location,2336000.0,33.858889,84.454167,ffc,serfc,ga,121.0,South Atlantic-Gulf Region,EST,Yes,750.1 ft,12.0,14.0,18.0,20.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=ving1,hgirg,Yes,W,0 Feet,Year-round,Yes,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,750.3,,750.1 ft,,,2336490.0,-0.23,Chattahoochee River,jam
1536,2343801.0,"CHATTAHOOCHEE RIVER NEAR COLUMBIA, AL",31.2593,-85.1111,3130004.0,EST,4300,cfs,2022-08-14 18:45:00,77.76,ft,2022-08-14 18:45:00,2980.0,225.76,0.14,0.18,2343801.0,George W. Andrews Lock and Dam (USACE),at,Chattahoochee River,cola1,River Stage/Flow Location,2343801.0,31.259167,85.110278,tae,serfc,ga,99.0,South Atlantic-Gulf Region,EST,No,0 ft,92.0,106.0,112.0,124.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=cola1,htirg,Yes,W,76.5 Feet,High Water,Yes,No,Yes,USGS and USACE,Yes,Yes,Yes,No,Yes,"WB FORM 4004B,3/7/56",0.0,,0 ft,,,23432415.0,-0.03,Chattahoochee River,jam
6197,12021800.0,"CHEHALIS RIVER NEAR ADNA, WA",46.6257,-123.102,17100103.0,PST,98.5,cfs,2022-08-14 15:00:00,192.7,ft,2022-08-14 15:00:00,1.9,1.97,0.01,0.01,12021800.0,Adna,near,Chehalis River,adnw1,River Stage/Flow Location,12021800.0,46.625833,123.100556,sew,nwrfc,wa,41.0,Pacific Northwest Region,PST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=sew&gage=adnw1,hgirg,Yes,W,0 Feet,No routine,No,No,Yes,US Geological Survey,No,No,,,,NAVD88,0.0,,,,,12031000.0,-0.03,Chehalis River,jam
472,1505000.0,CHENANGO RIVER AT SHERBURNE NY,42.6786,-75.5106,2050102.0,EST,39.1,cfs,2022-08-14 17:30:00,1.55,ft,2022-08-14 17:30:00,1.4,3.71,0.01,0.65,1505000.0,Sherburne,at,Chenango River,shbn6,River Stage/Flow Location,1505000.0,42.678611,75.510833,bgm,marfc,ny,17.0,Mid Atlantic Region,EST,No,1037.16 ft,6.5,8.5,9.5,10.6,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=shbn6,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,1036.86,1036.86 ft,1037.16 ft,,,1505810.0,-0.15,Chenango River,jam
3634,5536140.0,"CHICAGO SANITARY AND SHIP CANAL AT STICKNEY, IL",41.8169,-87.7539,7120004.0,CST,0,,0000-00-00 00:00:00,-2.46,ft,2022-08-14 16:00:00,,,-0.02,0.82,5536140.0,Stickney,at,Chicago Sanitary and Ship Canal,stii2,River Stage/Flow Location,5536140.0,41.816944,87.753889,lot,ncrfc,il,31.0,Upper Mississippi Region,CST,No,,6.0,6.5,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lot&gage=stii2,hgirp,Yes,W,-4 Feet,No routine,Yes,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,579.2,579.2,,,,5536890.0,-0.4,Chicago Sanitary and Ship Canal,jam
1762,2477500.0,"CHICKASAWHAY RIVER NR WAYNESBORO, MS",31.6826,-88.6835,3170002.0,CST,721,cfs,2022-08-14 17:00:00,5.48,ft,2022-08-14 17:00:00,25.0,3.59,0.1,1.86,2477500.0,Waynesboro,near,Chickasawhay River,wynm6,River Stage/Flow Location,2477500.0,31.68248,88.6835,mob,lmrfc,ms,153.0,South Atlantic-Gulf Region,CST,No,,30.0,35.0,45.0,48.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mob&gage=wynm6,hgirg,Yes,W,-9999 Feet,Year-round,No,No,No,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD29,119.91,,,,119.908 ft,2478500.0,-0.59,Chickasawhay River,jam
1579,2358789.0,CHIPOLA RIVER AT MARIANNA FL,30.773,-85.2163,3130012.0,CST,613,cfs,2022-08-14 17:00:00,7.13,ft,2022-08-14 17:00:00,3.0,0.49,0.01,0.14,2358789.0,Marianna (US 90),at,Chipola River,malf1,River Stage/Flow Location,2358789.0,30.772778,85.216389,tae,serfc,fl,63.0,South Atlantic-Gulf Region,EST,No,56 ft,14.0,18.0,22.0,26.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=malf1,hgirg,Yes,W,5.65 Feet,High Water,No,No,Yes,US Geological Survey,Yes,Yes,Yes,No,Yes,,56.0,,56 ft,,,2359000.0,-0.17,Chipola River,jam
3353,5366800.0,"CHIPPEWA R AT GRAND AVE AT EAU CLAIRE, WI",44.8096,-91.503,7050005.0,CST,3060,cfs,2022-08-14 17:00:00,4.38,ft,2022-08-14 17:00:00,10.0,0.33,0.01,0.23,5366800.0,Eau Claire,at,Chippewa River (WI),eclw3,River Stage/Flow Location,5366800.0,44.8097,91.5029,mpx,ncrfc,wi,35.0,Upper Mississippi Region,CST,No,,764.0,773.0,776.0,778.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=mpx&gage=eclw3,hgirp,Yes,W,-9999 Feet,High Water,No,No,Yes,City of Eau Claire/USGS 05366800,Yes,Yes,Yes,Yes,Yes,NAVD88,0.0,0,,,,5369500.0,-0.58,Chippewa River (WI),jam
428,1478000.0,"CHRISTINA RIVER AT COOCHS BRIDGE, DE",39.6374,-75.7279,2040205.0,EST,8.5,cfs,2022-08-14 18:15:00,4.16,ft,2022-08-14 18:15:00,0.39,4.81,0.01,0.24,1478000.0,Coochs Bridge,at,Christina River,chbd1,River Stage/Flow Location,1478000.0,39.6375,75.727778,phi,marfc,de,0.0,Mid Atlantic Region,EST,No,,9.0,11.0,12.0,13.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=chbd1,hgirg,Yes,W,-9999 Feet,High Water,No,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,24.52,24.52,,,,1480065.0,-48.34,Christina River,jam
2470,3350400.0,"MORSE RESERVOIR AT NOBLESVILLE, IN",40.0748,-86.0453,5120201.0,EST,0,,0000-00-00 00:00:00,9.42,ft,2022-08-14 17:45:00,,,0.02,0.21,3350400.0,Morse Reservoir,at,Cicero Creek,nmsi3,River Stage/Flow Location,3350400.0,40.0748,86.0453,ind,ohrfc,in,57.0,Ohio Region,EST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ind&gage=nmsi3,hpirg,Yes,W,809.44 Feet,Data Point,Yes,No,Yes,US Geological Survey,Yes,No,,,,NAVD88,800.12,800.12 ft,,,,3350500.0,-1.89,Cicero Creek,jam
4654,7157950.0,"Cimarron River near Buffalo, OK",36.852,-99.3154,11050001.0,CST,0.04,cfs,2022-08-14 17:30:00,2.81,ft,2022-08-14 17:30:00,0.01,33.33,0.01,0.36,7157950.0,Buffalo,near,Cimarron River,bffo2,River Stage/Flow Location,7157950.0,36.851975,99.315387,oun,abrfc,ok,151.0,Arkansas-White-Red Region,CST,No,1599.67,8.0,9.0,10.0,12.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=bffo2,hgirg,Yes,W,-9999 Feet,High Water,No,No,Yes,US Geological Survey,No,Yes,Yes,Yes,Yes,NGVD29,1599.67,,1599.67,,,7159100.0,-0.23,Cimarron River,jam
3879,6207500.0,Clarks Fork Yellowstone River nr Belfry MT,45.0099,-109.065,10070006.0,MST,607,cfs,2022-08-14 16:00:00,1.72,ft,2022-08-14 16:00:00,6.0,1.0,0.01,0.58,6207500.0,Belfry,near,Clarks Fork of the Yellowstone,bfym8,River Stage/Flow Location,6207500.0,45.009911,109.065367,byz,mbrfc,mt,9.0,Missouri Region,MST,No,3986.24 ft,0.0,9.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=byz&gage=bfym8,hgirz,Yes,W,-9999 Feet,Summer-only,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NGVD 1929,3986.24,,3986.24 ft,,,6208500.0,-0.53,Clarks Fork of the Yellowstone,jam
4170,6715000.0,CLEAR CREEK ABV WEST FORK CLEAR CREEK NR EMPIRE CO,39.7519,-105.662,10190004.0,MST,52.3,cfs,2022-08-14 16:00:00,3.95,ft,2022-08-14 16:00:00,1.2,2.35,0.01,0.25,6715000.0,Empire,near,Clear Creek (CO),cwcc2,River Stage/Flow Location,6715000.0,39.7519,105.6619,bou,mbrfc,co,19.0,Missouri Region,MST,No,8280,6.5,7.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bou&gage=cwcc2,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,,8280.0,,8280,,,6719505.0,-0.24,Clear Creek (CO),jam
617,1575500.0,"Codorus Creek near York, PA",39.9462,-76.7552,2050306.0,EST,177,cfs,2022-08-14 18:00:00,2.59,ft,2022-08-14 18:00:00,12.0,7.27,0.05,1.97,1575500.0,York,near,Codorus Creek,yrcp1,River Stage/Flow Location,1575500.0,39.946111,76.755556,ctp,marfc,pa,133.0,Mid Atlantic Region,EST,No,356.39,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ctp&gage=yrcp1,hgirg,Yes,W,,Data Point,No,No,Yes,US Geological Survey,Yes,No,,,,NGVD29,356.39,,356.39,,,1575598.0,-0.49,Codorus Creek,jam
5596,9010500.0,"COLORADO RIVER BELOW BAKER GULCH NR GRAND LAKE, CO",40.3258,-105.857,14010001.0,MST,23.9,cfs,2022-08-14 16:55:00,4.31,ft,2022-08-14 16:55:00,1.3,5.75,0.02,0.47,9010500.0,Grand Lake,above,Colorado River,bakc2,Stage/Flow and Precipitation Location,9010500.0,40.3258,105.8561,bou,cbrfc,co,49.0,Upper Colorado Region,MST,No,,7.6,8.0,8.5,9.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=bou&gage=bakc2,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,No,,,,,8750.0,,8750,,,9058000.0,-0.17,Colorado River,jam
5617,9070500.0,"COLORADO RIVER NEAR DOTSERO, CO",39.6446,-107.078,14010001.0,MST,1560,cfs,2022-08-14 16:00:00,2.94,ft,2022-08-14 16:00:00,20.0,1.3,0.02,0.68,9070500.0,Dotsero,near,Colorado River,eglc2,River Stage/Flow Location,9070500.0,39.644611,107.078014,gjt,cbrfc,co,37.0,Upper Colorado Region,MST,No,6130 ft,11.5,12.0,13.0,14.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=gjt&gage=eglc2,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,No,,,,NGVD29,6130.0,,6130 ft,,6130 ft,9085100.0,-0.22,Colorado River,jam
5703,9380000.0,"COLORADO RIVER AT LEES FERRY, AZ",36.8643,-111.588,14070007.0,MST,9810,cfs,2022-08-14 15:00:00,8.56,ft,2022-08-14 15:00:00,40.0,0.41,0.01,0.12,9380000.0,Lees Ferry,at,Colorado River,clfa3,River Stage/Flow Location,9380000.0,36.864722,111.5875,fgz,cbrfc,az,5.0,Lower Colorado Region,MST7,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=fgz&gage=clfa3,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,No,No,,,,NAVD88,3083.0,,,,,9402500.0,-0.25,Colorado River,jam
5740,9421500.0,"COLORADO RV BLW HOOVER DAM, AZ-NV",36.0153,-114.739,15010005.0,PST,0,,0000-00-00 00:00:00,46.64,ft,2022-08-14 15:55:00,,,0.43,0.93,9421500.0,Hoover Dam,below,Colorado River,bhda3,River Stage/Flow Location,9421500.0,36.01528,114.7378,vef,cbrfc,az,15.0,Lower Colorado Region,MST7,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=vef&gage=bhda3,hgirg,Yes,W,-9999 Feet,Data Point,No,No,Yes,US Geological Survey,No,No,,,,NGVD29,675.49,,,,,9422500.0,-0.05,Colorado River,jam
5303,8126380.0,"Colorado Rv nr Ballinger, TX",31.7154,-100.026,12090101.0,CST,0.25,cfs,2022-08-14 17:00:00,4.17,ft,2022-08-14 17:00:00,0.02,8.7,0.01,0.24,8126380.0,Ballinger,near,Colorado River (TX),blit2,River Stage/Flow Location,8126380.0,31.715278,100.026111,sjt,wgrfc,tx,,Texas-Gulf Region,CST,No,1606.51 ft,15.0,18.0,21.0,24.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=blit2,hgirg,Yes,W,,High Water,No,No,Yes,US Geological Survey,No,Yes,Yes,No,Yes,USGS,1606.51,,1606.51 ft,,,8136700.0,-0.54,Colorado River (TX),jam
5327,8147000.0,"Colorado Rv nr San Saba, TX",31.2179,-98.5645,12090201.0,CST,0,cfs,2022-08-14 17:35:00,0.96,ft,2022-08-14 17:35:00,,,0.01,1.05,8147000.0,San Saba,near,Colorado River (TX),snbt2,River Stage/Flow Location,8147000.0,31.217778,98.564167,sjt,wgrfc,tx,,Texas-Gulf Region,CST,No,1096.22 ft,25.0,30.0,34.0,38.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=snbt2,hgirg,Yes,W,,High Water,No,No,Yes,US Geological Survey,No,Yes,Yes,No,Yes,USGS,1096.22,,1096.22 ft,,,8154900.0,-0.01,Colorado River (TX),jam
5369,8159200.0,"Colorado Rv at Bastrop, TX",30.1047,-97.3194,12090301.0,CST,612,cfs,2022-08-14 17:40:00,3,ft,2022-08-14 17:40:00,17.0,2.86,0.03,1.01,8159200.0,Bastrop,at,Colorado River (TX),brtt2,River Stage/Flow Location,8159200.0,30.104444,97.319167,ewx,wgrfc,tx,0.0,Texas-Gulf Region,CST,Yes,307.38 ft,14.0,23.0,25.0,28.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=brtt2,hgirz,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,No,Yes,NGVD 1929,307.38,,307.38 ft,,,8159500.0,-0.66,Colorado River (TX),jam
4991,7377500.0,"Comite River near Olive Branch, LA",30.7566,-91.044,8070202.0,CST,0,,0000-00-00 00:00:00,-0.72,ft,2022-08-14 17:15:00,,,-0.02,2.86,7377500.0,Olive Branch,near,Comite River,olvl1,River Stage/Flow Location,7377500.0,30.756389,91.043889,lix,lmrfc,la,37.0,South Atlantic-Gulf Region,CST,No,,16.0,19.0,22.0,24.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=olvl1,hgirg,Yes,W,-9999 Feet,Year-round,No,No,Yes,US Geological Survey,Yes,Yes,Yes,Yes,Yes,NAVD88,113.15,113.15 ft,,,,7377600.0,-0.15,Comite River,jam
1156,2169750.0,"CONGAREE RIVER AT U.S. HWY 601 NR. FORT MOTTE, SC",33.7531,-80.645,3050110.0,EST,0,,0000-00-00 00:00:00,74.79,ft,2022-08-14 18:15:00,,,0.05,0.07,2169750.0,Fort Motte SC,above,Congaree River,cfms1,River Stage/Flow Location,2169750.0,33.75247,80.645374,cae,serfc,sc,17.0,South Atlantic-Gulf Region,EST,No,,0.0,0.0,0.0,0.0,FT,,https://water.weather.gov/ahps2/hydrograph.php?wfo=cae&gage=cfms1,hgirg,Yes,W,-9999 Feet,No routine,No,No,Yes,US Geological Survey,Yes,No,,,,0,0.0,0,,,,21695075.0,-0.02,Congaree River,jam
